n;SI;title;author;journal;year;source;pages;volume;abstract;document_type;doi;url;affiliation;author_keywords;keywords;publisher;issn;language;note;selection_criteria
115;S;Spatiotemporal analysis of the housing bubble's contribution to the proliferation of illegal landfills – The case of Gran Canaria;Lorenzo Carlos Quesada-Ruiz and Liliana Perez and Victor Rodriguez-Galiano;Science of The Total Environment;2019;El Compendex;104-117;687;Illegal landfills are the source of many impacts that can alter the environment and represent a public health risk. This study investigates their spatiotemporal distribution in two representative areas of Gran Canaria: northwest (Zone A) and east (Zone B). Illegal landfill occurrence was simulated between 2000 and 2018, to estimate and spatially locate the surface growth of illegal landfills based on cellular automata, cellular automata-Markov and multiobjective land allocation models. The proliferation of illegal landfills in 2018 was simulated following the calibration and validation of the proposed models. Models' accuracy was assessed using Kappa index and landscape metrics. The cellular automata-Markov model had the best performance. The model simulations predicted an increase of 52.3?ha and 81.5?ha affected by illegal landfills in Zone A and Zone B for 2018, respectively. The interannual growth rate of surfaces affected by illegal landfills for the period between 2000 and 2006 was 4.5% and 9.5% and between 2006 and 2012 it was 6.6% and 6.7%, for Zone A and Zone B respectively. The growth of illegal landfills between 2000 and 2006 was higher in urban areas, construction sites, and industrial zones, and may be closely related to the process of urban expansion linked to the real estate boom. The latter would have a deep impact on the landscape due to the proliferation of illegal construction and demolition waste. The growth rate of illegal landfills in urban environments fell during the later period of urban expansion. Overall, simulation outputs showed the model's ability to correctly reproduce the distribution patterns for illegal landfill proliferation. Even though the simulated spatial location of illegal landfills was not highly accurate, the models built in this study provide an informative tool to policy makers to aid the process creating policies for environmental protection as well as territorial planning.;;https://doi.org/10.1016/j.scitotenv.2019.06.079;https://www.sciencedirect.com/science/article/pii/S0048969719326476;;;Cellular automata, Logistic regression, Markov models, Land change modelling, Illegal landfill occurrence;;0048-9697;;;
116;S;Monitoring housing rental prices based on social media:An integrated approach of machine-learning algorithms and hedonic modeling to inform equitable housing policies;Lirong Hu and Shenjing He and Zixuan Han and He Xiao and Shiliang Su and Min Weng and Zhongliang Cai;Land Use Policy;2019;El Compendex;657-673;82;National land use policies and strategies worldwide have attempted to establish a healthy housing rental market towards urban sustainability. Monitoring fine-scale housing rental prices should provide essential implications for equitable housing policies. However, doing so remains a challenge because aggregated data were traditionally collected at a coarse scale through census or social surveys. On-line housing rental websites (OHRWs) have become popular social media platforms in the housing studies. This paper attempts to demonstrate how to monitor fine-scale housing rental prices based on OHRWs using the case of Shenzhen in China. Employing hedonic model, a set of housing rental determinants are initially selected from three characteristics (neighborhood, location and structure) and at three levels (nearest accessibility, 15-minute walking distance availability and sub-district availability). Housing rent prediction models are then established (respectively for October 2017 and February 2018) using the training samples collected from the OHRWs and six machine-learning algorithms, including random forest regression (RFR), extra-trees regression (ETR), gradient-boosting regression (GBR), support vector regression (SVR), multi-layer perceptron neural network (MLP-NN) and k-nearest neighbor algorithm (k-NN). Thereafter, the relative importance of the determinants is calculated and visualized using partial dependence plots. Finally, the models are used to monitor housing rental price dynamics for all of the communities within Shenzhen. Results show that all of the algorithms except SVR generally present good performance. Among them, RFR and ETR are the best one in October 2017 and February 2018, respectively. Concerning the spatial pattern of housing rental, the high-high clusters merge in the central districts, whereas the low-low clusters are located in the outskirts, and the growth rate is the greatest in the farthest outskirts from the central districts. Each determinant affects the housing rent across different scale and sub-district availability and nearest accessibility are more important than 15-minute walking distance availability. The two most influential determinants are sub-district job opportunity and nearest accessibility to health care facilities. The case of Shenzhen shows that the demonstrated framework, which integrates machine-learning algorithms and the hedonic modeling, is practical and efficient. The approach is believed to provide an essential tool to inform equitable housing policies.;;https://doi.org/10.1016/j.landusepol.2018.12.030;https://www.sciencedirect.com/science/article/pii/S0264837718316429;;;Housing rental price, Social media, Hedonic model, Multilevel determinants, Machine learning, Equitable housing policies;;0264-8377;;;
117;S;Automated design and modeling for mass-customized housing. A web-based design space catalog for timber structures;Fabio Bianconi and Marco Filippucci and Alessandro Buffi;Automation in Construction;2019;El Compendex;13-25;103;The research proposes a model for mass-customized housing in the emerging context of Industry 4.0 promoted by the European Union as a mean for technological and industrial innovation. With the aim to develop a cross-laminated timber (CLT) model for the Architecture, Engineering, and Construction (AEC) industry, the study deepens the possibility of using generative models and evolutionary principles to inform the customization process in the early stage of design. By trying to bring the latest innovation in the field of computer science and information technology to customers who typically are not proficient with algorithmic design and computation, the research builds up an intuitive interface that allows customers to explore different design solutions. Related to the scale of a single-family house, this model is intended to be used as a decision support system for the design of residential and emergency homes in central Italy.;;https://doi.org/10.1016/j.autcon.2019.03.002;https://www.sciencedirect.com/science/article/pii/S0926580518305302;;;Mass-customization, Design automation, Timber construction, Multi-objective optimization, Parametric design, Genetic Algorithms (GA), Building Information Modeling (BIM), Energy optimization, Hyperdimensional data analysis, Data driven design;;0926-5805;;;
118;S;A BIM and machine learning integration framework for automated property valuation;Tengxiang Su and Haijiang Li and Yi An;Journal of Building Engineering;2021;El Compendex;102636;44;Property valuation contributes significantly to market economic activities, while it has been continuously questioned on its low transparency, inaccuracy and inefficiency. With Big Data applications in real estate domain growing fast, computer-aided valuation systems such as AI-enhanced automated valuation models (AVMs) have the potential to address these issues. While a plethora of research has focused on improving predictive performance of AVMs, little effort has been made on information requirements for valuation models. As the amount of data in BIM is rising exponentially, the value-relevant design information has not been widely utilized for property valuation. This paper presents a system that leverages a holistic data interpretation, improves information exchange between AEC projects and property valuation, and automates specific workflows for property valuation. A mixed research method was adopted combining the archival literature research, qualitative and quantitative data analysis. A BIM and Machine learning (ML) integration framework for automated property valuation was proposed which contains a fundamental database interpretation, an IFC-based information extraction and an automated valuation model based on genetic algorithm optimized machine learning (GA-GBR). The main findings indicated: (1) Partial information requirements can be extracted from BIM models, (2) Property valuation can be performed in a more accurate and efficient way. This research contributes to managing information exchange between AEC projects and property valuation and supporting automated property valuation. It was suggested that the infusion of BIM, ML and other emerging digital technologies might add values to property valuation and the construction industry.;;https://doi.org/10.1016/j.jobe.2021.102636;https://www.sciencedirect.com/science/article/pii/S2352710221004940;;;Property valuation, Information exchange, Building information modelling (BIM), Industry foundation class (IFC), Machine learning (ML);;2352-7102;;;
119;S;Treatment of the Airbnb controversy by the press;Assumpció Huertas and Berta Ferrer-Rosell and Estela Marine-Roig and Eduard Cristobal-Fransi;International Journal of Hospitality Management;2021;El Compendex;102762;95;Airbnb is one of the most transformative developments in the traditional accommodation system. Due to the social impact it entails, Airbnb is currently a present topic in the press, although studies on how Airbnb is treated in the press are very scarce. Thus, this article aims to analyse the treatment of Airbnb controversial issues in the press and its evolution. The analysis method is first to follow the evolution from 2016 to 2018, second, to conduct a computerised quantitative content analysis, and finally to analyse the importance of information published through compositional data analysis. Results show that topics appearing most in the news are legal issues and regulations followed by gentrification, new forms of tourism and sharing economy, mainly being treated from a negative perspective, although are evolving towards a more positive vision. Results can be useful for local and national authorities to understand and manage this phenomenon.;;https://doi.org/10.1016/j.ijhm.2020.102762;https://www.sciencedirect.com/science/article/pii/S0278431920303145;;;Compositional data analysis, Accommodation sharing, Media, Content analysis, Controversial issues, Airbnb;;0278-4319;;;
120;S;Measuring aggregate housing wealth: New insights from machine learning ?;Joshua Gallin and Raven Molloy and Eric Nielsen and Paul Smith and Kamila Sommer;Journal of Housing Economics;2021;El Compendex;101734;51;We construct a new measure of aggregate housing wealth for the U.S. based on (1) home-value estimates derived from machine learning algorithms applied to detailed information on property characteristics and recent transaction prices, and (2) Census housing unit counts. According to our new measure, the timing and amplitude of the recent house-price cycle differs materially but plausibly from commonly-used measures, which are based on survey data or repeat-sales price indexes. Thus, our methodology generates estimates that should be of considerable value to researchers and policymakers interested in the dynamics of aggregate housing wealth.;;https://doi.org/10.1016/j.jhe.2020.101734;https://www.sciencedirect.com/science/article/pii/S105113772030070X;;;Residential real estate, Consumer economics and finance, Data collection and estimation, Flow of funds;;1051-1377;;;
121;S;Creating spatially-detailed heterogeneous synthetic populations for agent-based microsimulation;Meng Zhou and Jason Li and Rounaq Basu and Joseph Ferreira;Computers, Environment and Urban Systems;2022;El Compendex;101717;91;Agent-based models (ABMs) of urban systems have grown in popularity and complexity due to the widespread availability of high-performance computing resources and large data storage capabilities. Credible synthetic populations are crucial for the application of ABMs to understand urban phenomena. Although several (agent) population synthesis methods have been suggested over the years, the spatial dimension of synthetic populations has not received as much attention. This study addresses this myopic treatment of synthetic populations by creating two distinct components – agents and the built environment – that are integrated to form a ‘full’ spatially-detailed synthetic population. To generate agents, we used multiple Bayesian Networks (BN) to probabilistically draw pools from the microsample, followed by a Generalized Raking (GR) adjustment to match marginal controls. Using various measures, we demonstrate that our BN+GR framework outperforms more commonly used synthesis methods in both capturing the heterogeneity in the microsample and matching marginal controls. We also highlight the importance of accounting for heterogeneity by using separate type-specific models based on an explicitly defined household typology. For built environment synthesis, we generated various spatial entities such as buildings, housing units, establishments, and jobs at distinct spatial locations by fusing data from various spatial datasets. Their spatial distributions are found to effectively approximate the ‘real’ built environment in our study area. Our proposed framework can be used to generate a ‘full’ synthetic population for use in ABMs with more spatio-demographic heterogeneity than can otherwise be estimated using traditional methods.;;https://doi.org/10.1016/j.compenvurbsys.2021.10171;https://www.sciencedirect.com/science/article/pii/S0198971521001241;;;Synthetic population, Built environment, Agent-based microsimulation, Bayesian Network, Land use-transport interaction (LUTI) model;;0198-9715;;;
122;S;House style recognition using deep convolutional neural network;Yun Kyu Yi and Yahan Zhang and Junyoung Myung;Automation in Construction;2020;El Compendex;103307;118;The recent development in deep learning has opened up a new era of possibilities, once difficult to achieve with conventional methods, to revolutionize image recognition, speech recognition, and natural language processing. Specifically, image recognition has been widely applied in various areas such as face recognition, object identification for security, and other purposes. Although it is rarely applied to discover new methods for use in architecture, image recognition has great potential in architectural design. For example, it can be used to identify the preference of the client and to design a building that satisfies a client's aesthetic preference. One of the major hurdles of utilizing image recognition in architecture is the architectural styles based on culture, location, and time. For that reason, it is difficult to identify an architectural style by non-trained clients and sometimes certain buildings are composed of different styles that are difficult to identify by experts as one style. This paper explores the possibility of using state-of-the-art image recognition algorithms in house style recognition to find out its limitations and possibilities. Moreover, the paper adopted a convolutional neural network model for classifying house styles in the US. Although the final accuracy is not high due to the lack of image datasets, the trained model performed reasonable predictions with a limited test set. The results show the importance of properly defining style for image recognition to improve its accuracy.;;https://doi.org/10.1016/j.autcon.2020.103307;https://www.sciencedirect.com/science/article/pii/S0926580520300261;;;House style, Image recognition, Deep Convolutional Neural Network (DCNN), Deep learning;;0926-5805;;;
123;S;Information value of property description: A Machine learning approach;Lily Shen and Stephen Ross;Journal of Urban Economics;2021;El Compendex;103299;121;This paper employs machine learning to quantify the value of “soft” information contained in real estate property descriptions. Textual descriptions contain information that traditional hedonic attributes cannot capture. A one standard deviation increase in the uniqueness of a property based on this “soft” information leads to a 15% increase in property sale price in a hedonic price model and a 10% increase in a repeat sales price model. The effects in the hedonic model appear to arise through two channels: the unobserved quality of the housing unit, and the market power of the housing unit relative to competing properties. The effects in the repeat sales model appear to be driven entirely by the market power of the unit. Further, an annual hedonic price index ignoring our measure of unobserved quality overstates real estate prices by between 10% to 23% and mistimes the stabilization of housing prices following the Great Recession. Similar, but smaller effects, are observed for the repeat sales price index.;;https://doi.org/10.1016/j.jue.2020.103299;https://www.sciencedirect.com/science/article/pii/S009411902030070X;;;Natural language processing, Unsupervised machine learning, Soft information, Housing prices, Price indexes, Property descriptions;;0094-1190;;;
124;S;Human settlement value assessment from a place perspective: Considering human dynamics and perceptions in house price modeling;Yuhao Kang and Fan Zhang and Song Gao and Wenzhe Peng and Carlo Ratti;Cities;2021;El Compendex;103333;118;A better formalization of place - where people live, perceive, and interact with others - is crucial for understanding socioeconomic environment and human settlement. The widely used hedonic pricing model for houses was proposed from the perspective of space, focusing mostly on static house structural information and objective built environment factors. However, the value of house settlement is not only determined by its spatial settings, but also varies from one place to another with different cultures, human dynamics, human perceptions and social interactions. In this work, we introduce a place-oriented hedonic pricing model (P-HPM) that incorporates human dynamics and human perceptions of places to understand human settlement. As an empirical study, we employ a large volume of house price data in Boston and Los Angeles, including detailed house and locational amenity information. Besides, we take the hourly number of visits to places as a proxy of human mobility patterns, and obtain human perceptions of places extracted from large-scale street-view images using deep learning. The results show that the P-HPM outperformed the traditional HPM significantly in these two cities. Moreover, through a geographically weighted regression analysis and the Monte Carlo test, we find that the impacts of the proposed place-related variables on house prices are stable across space. Our results provide new insights into the assessment of human settlement values by incorporating the role of place using multi-source big geo-data.;;https://doi.org/10.1016/j.cities.2021.103333;https://www.sciencedirect.com/science/article/pii/S026427512100233X;;;Hedonic pricing model, Human dynamics, Human perception, Street-view images, Sense of place, GeoAI;;0264-2751;;;
125;S;Macroeconomic indicators alone can predict the monthly closing price of major U.S. indices: Insights from artificial intelligence, time-series analysis and hybrid models;Bin Weng and Waldyn Martinez and Yao-Te Tsai and Chen Li and Lin Lu and James R. Barth and Fadel M. Megahed;Applied Soft Computing;2018;El Compendex;685-697;71;This paper proposes a two-stage approach that can be used to investigate whether the information hidden in macroeconomic variables (alone) can be used to accurately predict the one-month ahead price for major U.S stock and sector indices. Stage 1 is constructed to evaluate the hypothesis that the price for different indices is driven by different economic indicators. It consists of three phases. In phase I, the data is automatically acquired using freely available APIs (application programming interfaces) and prepared for analysis. Phase II reduces the set of potential predictors without the loss of information through several variable selection methods. The third phase employs four ensemble models and three time-series models for prediction. The prediction performance of the seven models are compared using the Mean Absolute Percent Error (and two additional metrics). If the hypothesis were to be true, one expects that the performance of the ensemble models to outperform the time-series models since the information in the economy is more important than the information in previous prices. In Stage 2, a hybrid approach of the recurring neural network used for time-series prediction (i.e., the LSTM) and the ensemble models is constructed to examine the secondary hypothesis that the residuals from the time-series models are not random and can be explained by the macroeconomic indicators. To test the two hypotheses, the monthly closing prices for 13 U.S. stock and sector indices and the corresponding values for 23 macroeconomic indicators were collected from 01/1992–10/2016. Based on the case study, the four ensembles prediction performance were superior to that of the three time-series models. The MAPE of the best model for a given index was < 1.87%. The Stage 2 results also show that the three evaluation metrics (RMSE, MAPE and MAE) can be typically improved by 25–50% by incorporating the information hidden in the macroeconomic indicators (through the ensemble approach). Thus, this paper shows that, for the analysis period and the indices studied, the macro-economic indicators are leading predictors of the price of 13 U.S. sector indices.;;https://doi.org/10.1016/j.asoc.2018.07.024;https://www.sciencedirect.com/science/article/pii/S1568494618304125;;;ARIMA, Deep learning, Ensembles, GARCH, Long short-term memory (LSTM) networks;;1568-4946;;;
126;S;Machine learning with explainability or spatial hedonics tools? An analysis of the asking prices in the housing market in Alicante, Spain;Juan Ramón Rico-Juan and Paloma {Taltavull de La Paz};Expert Systems with Applications;2021;El Compendex;114590;171;Two sets of modelling tools are used to evaluate the precision of housing-price forecasts: machine learning and hedonic regression. Evidences on the prediction capacity of a range of methods points to the superiority of the random forest as it can calculate real-estate values with an error of less than 2%. This method also ranks the attributes that are most relevant to determining housing prices. Hedonic regression models are less precise but more robust as they can identify the housing attributes that most affect the level of housing prices. This empirical exercise adds new knowledge to the literature as it investigates the capacity of the random forest to identify the three dimensions of non-linearity which, from an economic theoretical point of view, would identify the reactions of different market agents. The intention of the robustness test is to check for these non-linear relationships using hedonic regression. The quantile tools also highlight non-linearities, depending on the price levels. The results show that a combination of techniques would add information on the unobservable (non-linear) relationships between housing prices and housing attributes on the real-estate market.;;https://doi.org/10.1016/j.eswa.2021.114590;https://www.sciencedirect.com/science/article/pii/S0957417421000312;;;Forecasting housing prices, Hedonic tools, Machine Learning, Models’ explainability;;0957-4174;;;
127;S;Artificial neural networks and deep learning in urban geography: A systematic review and meta-analysis;George Grekousis;Computers, Environment and Urban Systems;2019;El Compendex;244-256;74;Artificial neural networks (ANNs) and their latest advancement in deep learning are blooming in computer science. Geography has integrated these artificial intelligence techniques, but not with the same enthusiasm. The main reason for hesitation is that ANNs are still confronted as complex and black boxes. However, ANNs might be more solid methods than conventional approaches when dealing with complex geographical problems. This study considers the great potential of ANNs for research in urban geography. First, using the PRISMA protocol, it provides a statistical review of 140 papers on studies that employed ANNs in urban geography between 1997 and 2016. Second, it performs a quantitative meta-analysis using non-parametric bootstrapping. 45 (of the 140) papers were assessed regarding ANNs' overall accuracy (OA) achieved when used for urban growth prediction or urban land-use classification. Third, a new guideline for reporting ANNs is proposed. Statistical review indicated that ANNs performed better in 75.7% of case studies compared to conventional methods. Meta-analysis found that on bootstrapped averages, the median OA achieved when using, ANNs was higher than the median OA achieved by other techniques by 2.3% (p?<?.001). ANNs also performed better when used for classification compared to prediction. Analysis also identified inadequate presentation of ANNs and related results when used in urban studies. For this reason, a new guideline for reporting ANNs is suggested in this work to ensure consistency and easier dissemination of individual lessons learned. These findings aim to motivate further studies on ANNs and deep learning in urban geography.;;https://doi.org/10.1016/j.compenvurbsys.2018.10.00;https://www.sciencedirect.com/science/article/pii/S0198971518302928;;;Artificial Neural Networks, Deep Learning, Urban Geography, Meta-analysis, Trends, Guidelines on Reporting results;;0198-9715;;;
128;S;Towards Data-Driven Simulation Modeling for Mobile Agent-Based Systems;Keller, Nicholas and Hu, Xiaolin;ACM Trans. Model. Comput. Simul.;2019;ACM Digital Library;;29;"Simulation models are widely used to study complex systems. Current simulation models are generally handcrafted using expert knowledge (knowledge-driven); however, this process is slow and introduces modeler bias. This article presents an approach towards data-driven simulation modeling by developing a framework that discovers simulation models in an automated way for mobile agent-based applications. The framework is comprised of three components: (1) a model space specification, (2) a search method (genetic algorithm), and (3) framework measurement metrics. The model space specification provides a formal specification for the general model structure from which various models can be generated. The search method is used to efficiently search the model space for candidate models that exhibit desired behavior patterns. The five framework measurement metrics: flexibility, comprehensibility, controllability, composability, and robustness, are developed to evaluate the overall framework. The results demonstrate that it is possible to discover a variety of interesting models using the framework.";;10.1145/3289229;https://doi.org/10.1145/3289229;;;agent-based, Framework, mobile agent;Association for Computing Machinery;1049-3301;;;
129;S;Housing Demand Estimation Based on Express Delivery Data;Li, Qingyang and Yu, Zhiwen and Guo, Bin and Xu, Huang and Lu, Xinjiang;ACM Trans. Knowl. Discov. Data;2019;ACM Digital Library;;13;Housing demand estimation is an important topic in the field of economic research. It is beneficial and helpful for various applications including real estate market regulation and urban planning, and therefore is crucial for both real estate investors and government administrators. Meanwhile, given the rapid development of the express industry, abundant useful information is embedded in express delivery records, which is helpful for researchers in profiling urban life patterns. The express delivery behaviors of the residents in a residential community can reflect the housing demand to some extent. Although housing demand has been analyzed in previous studies, its estimation has not been very good, and the subject remains under explored. To this end, in this article, we propose a systematic housing demand estimation method based on express delivery data. First, the express delivery records are aggregated on the community scale with the use of clustering methods, and the missing values in the records are completed. Then, various features are extracted from a less sparse dataset considering both the probability of residential mobility and the attractiveness of residential communities. In addition, given that the correlations between different districts can influence the performances of the inference model, the commonalities and differences of different districts are considered. After obtaining the features and correlations between different districts being obtained, the housing demand is estimated by using a multi-task learning method based on neural networks. The experimental results for real-world data show that the proposed model is effective at estimating the housing demand at the residential community level.;;10.1145/3332522;https://doi.org/10.1145/3332522;;;express delivery data, Housing demand, multi-task learning;Association for Computing Machinery;1556-4681;;;
130;S;Dynamic Language Models for Continuously Evolving Content;Amba Hombaiah, Spurthi and Chen, Tao and Zhang, Mingyang and Bendersky, Michael and Najork, Marc;;2021;ACM Digital Library;2514–2524;;The content on the web is in a constant state of flux. New entities,issues, and ideas continuously emerge, while the semantics of the existing conversation topics gradually shift. In recent years, pre-trained language models like BERT greatly improved the state-of-the-art for a large spectrum of content understanding tasks.Therefore, in this paper, we aim to study how these language models can be adapted to better handle continuously evolving web content.In our study, we first analyze the evolution of 2013 - 2019 Twitter data, and unequivocally confirm that a BERT model trained on past tweets would heavily deteriorate when directly applied to data from later years. Then, we investigate two possible sources of the deterioration: the semantic shift of existing tokens and the sub-optimal or failed understanding of new tokens. To this end, we both explore two different vocabulary composition methods, as well as propose three sampling methods which help in efficient incremental training for BERT-like models. Compared to a new model trained from scratch offline, our incremental training (a) reduces the training costs, (b) achieves better performance on evolving content, and (c)is suitable for online deployment. The superiority of our methods is validated using two downstream tasks. We demonstrate significant improvements when incrementally evolving the model from a particular base year, on the task of Country Hashtag Prediction, as well as on the OffensEval 2019 task.;;10.1145/3447548.3467162;https://doi.org/10.1145/3447548.3467162;;;hard example mining, dynamic vocabulary, incremental learning, active learning, language modeling, vocabulary composition;Association for Computing Machinery;;;;
131;S;DiAd: Domain Adaptation for Learning at Scale;Zeng, Ziheng and Chaturvedi, Snigdha and Bhat, Suma and Roth, Dan;;2019;ACM Digital Library;185–194;;Massive online courses occupy an important place in the educational landscape of today. We study an approach to scale predictive analytic models derived from online course discussion fora--specifically that of confusion detection--onto other courses. The primary challenge here is the lack of labeled examples in a new course and this calls for unsupervised domain adaptation (DA). As a first step in exploring DA in the education domain, we propose a simple algorithm, DiAd, which adapts a classifier trained on a course with labeled data by selectively choosing instances from a new course (with no labeled data) that are most dissimilar to the course with labeled data and on which the classifier is very confident of classification. Our algorithm is empirically validated on the confusion detection task across multiple online courses. We find that DiAd outperforms other methods on the target domain, while showing a comparable performance to a popular method that uses labeled data from the target domain.;;10.1145/3303772.3303810;https://doi.org/10.1145/3303772.3303810;;;Confusion Detection, Domain Adaptation, Learning at Scale;Association for Computing Machinery;;;;
132;S;Modeling Real Estate Dynamics Using Temporal Encoding;Jiang, Chen and Li, Jingjing and Wang, Wenlu and Ku, Wei-Shinn;;2021;ACM Digital Library;516–525;;Deep learning has assisted modern life in various ways. One example is that accurate economic prediction helps people better allocate and distribute their resources. In the U.S., home prices have been accelerating during the COVID-19 pandemic and climbed 13.3% in March 2021 from the previous year. Real estate market prediction is critical for home buyers and investors to make wise decisions. In some circumstances, accurate predictions on home prices are more important than usual in helping decision-makers to reduce financial mistakes.In this paper, we introduce a large-scale real estate-related dataset for the value prediction task. It consists of numerical real estate price history data from Zillow1 and survey data from Census Bureau public dataset. Our goal is to utilize data from different levels to model the real-estate dynamics with temporal and non-temporal data. We propose to embed sequential temporal features using a transformer and combine them with non-temporal features for subsequent prediction tasks, and evaluate using a different number of classes L ? {2, 3, 4, 5}. As an example, when L = 2, we have achieved 93.5% accuracy with our proposed model, and when L = 3, our proposed model has achieved 90.1% prediction accuracy. The results suggest that the proposed model overall outperforms all the baseline models.;;10.1145/3474717.3484254;https://doi.org/10.1145/3474717.3484254;;;Transformer, Deep Learning, Spatial-temporal Data;Association for Computing Machinery;;;;
133;S;Prediction of Office Building Rental upon Spatiotemporal Data;Wang, Zhihong and Cao, Buyang;;2019;ACM Digital Library;168–174;;This paper presents a study on effectively predicting office building rentals based on the surrounding spatiotemporal data. During the planning, development, and construction stages of an office building, the stakeholders of the building may have one question to be answered, i.e., what the potential value of the office building is. The potential value of office buildings may be hard to be measured directly, however, it can be reflected in the rental after the office is put into operation. An accurate prediction of the office building rental will provide the solid base for the corresponding stakeholders to make business decisions. The rental of office buildings is affected by many factors, such as its location, floors, number of parking spots, the convenience of transportation, as well as the activities of the surrounding business. To support the rental prediction, we collect the datasets from different data sources in Shanghai. The linear regression, the decision tree, and the random forest models are employed in the computational experiments to predict the office building rentals and the most suitable prediction methodology for predicting the office building rental is suggested upon the experiments.;;10.1145/3352411.3352438;https://doi.org/10.1145/3352411.3352438;;;Prediction, Regression model, Machine learning, Parameter optimization, Commercial estate;Association for Computing Machinery;;;;
134;S;"Combining Domain Knowledge &amp; Machine Learning: Making Predictions Using Boosting Techniques";Cinar, Utku Kubilay;;2019;ACM Digital Library;9–13;;The latest hit on technology is the information and telecommunication novelties. Internet and big data are important source of information in order to understand this vast majority of the upcoming knowledge. Websites are progressively expanding and making it available to everyone who has access. Modern economic systems are built on data or knowledge. Thus, tech companies gather huge data and exercise their powers to digitalize the information to capture and utilize the knowledge within their reach. Information management enables firms to improve customer satisfaction, increase revenue, understand customer behavior, mitigate risk assessment, making a multidisciplinary approach. Another approach is to be able to identify business strategies. Information management researches (using machine learning algorithm) can help the field to discover what is significant on a customer behavior and reduce costs to its clients. Over the recent years, information management and machine learning algorithms are getting more and more close and on topic. Since, information management and machine learning intensely concerns with domain knowledge. Artificial Intelligence allows the machines to accumulate knowledge and adapts it. Information management and machine learning are affected by several factors such as business strategies, customer behavior, effectively using knowledge. Therefore, pulling only a single topic will not be enough to capture meaningful information from a huge chunk. Machine learning, and information systems also have the potential to help organizations in financial aspects. XG-Boost is one of the algorithms under the Decision-Trees equipped with boosting techniques similar to Microsoft's Light GBM algorithm. In recent years, XG-Boost algorithm has gained huge popularity due to its easy to use, speed, and performance. The aim of this paper is to show the use of the data in order to predict house prices XG-Boost algorithm and Neural Network model. The main goal here is to estimate the house prices using domain knowledge and machine learning algorithms. RMSE criteria was preferred. This paper suggests a generic way to gather knowledge on a very specific domain. Following the achieved result, the house price was estimated by processing the domain info through the machine learning algorithm here presented.;;10.1145/3369114.3369125;https://doi.org/10.1145/3369114.3369125;;;AI solutions, information, machine learning, capturing, xgboost, domain knowledge;Association for Computing Machinery;;;;
135;S;Spatial Prediction of Housing Prices in Beijing Using Machine Learning Algorithms;Yan, Ziyue and Zong, Lu;;2020;ACM Digital Library;64–71;;The real estate industry places key influence on almost every aspect of social economy given its great financing capacity and prolonged upstream and downstream industry chain. Therefore, predicting housing prices is regarded as an emerging topic in the recent decades. Hedonic Regression and Machine Learning Algorithms are two main methods in this field. This study aims to explore the important explanatory features and determine an accurate mechanism to implement spatial prediction of housing prices in Beijing by incorporating a list of machine learning techniques, including XGBoost, linear regression, Random Forest Regression, Ridge and Lasso Model, bagging and boosting, based on the housing price and features data in Beijing, China. Our result shows that compared to traditional hedonic method, machine learning methods demonstrate significant improvements on the accuracy of estimation despite that they are more time-costly. Moreover, it is found that XGBoost is the most accurate model in explaining and prediciting the spatial dynamics of housing prices in Beijing.;;10.1145/3409501.3409543;https://doi.org/10.1145/3409501.3409543;;;Housing Price, Spatial Modeling, Machine Learning Algorithms, Prediction;Association for Computing Machinery;;;;
136;S;House Rent Prediction Based on Joint Model;Zhang, Kun and Shen, LingCong and Liu, Ningning;;2019;ACM Digital Library;507–511;;With the development of the house leasing market, the house rents of several large cities in China have experienced rapid growth due to the increasing demand. In this paper, we focus on investigating various machine learning approaches to predict the house rent. Firstly, we not only have investigated different rent-related features including community condition, location, traffic and house condition, but also have employed various prediction models including XGBoost, LightGBM and CatBoost algorithms. Based on these, we proposed a joint model, which is a combination of above three models by linear weighting learned from least square method. Our best model ranks in top3% in the public Data Castle competition, which proves the joint model can effectively improve the accuracy and stability of the rent prediction compared to other prediction models.;;10.1145/3373509.3373578;https://doi.org/10.1145/3373509.3373578;;;XGBoost, LightGBM, Joint Model, House Rent, CatBoost, Prediction;Association for Computing Machinery;;;;
137;S;Simulation Framework for Self-Evolving Agent-Based Models: A Case Study of Housing Market Model;Bae, Jang Won and Paik, Euihyun and Kang, Dong-oh and Jung, Junyoung and Lee, Chun-Hee;;2018;ACM Digital Library;1120–1131;;Agent-based modeling and simulation (ABMS) has been applied to various domain problems. ABM consists of multiple agents and environments and focuses on their interactions. While such characteristics lead to its current popularity, they partially makes hard for the model calibration. Model calibration is generally performed by tuning model parameters, but in the ABM case, its interaction structure should be considered as well due to its huge influences to the results. To resolve this problem, this paper suggests a self-evolving ABMS framework. During the self-evolving process, ABM structure as well as parameters are explored and exploited for the model calibration. In particular, we adopt reconfigurable modeling in the proposed simulation framework, which is derived from Discrete Event System Specification (DEVS) formalism. This paper introduces a housing ABM, and the case study using this model shows that the accuracy of the model prediction was significantly increased through the self-evolving process.;;;;;;;IEEE Press;;;;
